1998  Mitsubishi Pajero Pinin (IO),"135000 կմ , Կուպե, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","31.12.2025 Հայաստան, Մաքսազերծված"
$ 52 000,2022  Tesla Model 3,"35000 կմ , Սեդան, Էլեկտրական, Ավտոմատ, 65, 2, Ձախ","27.12.2025 Հայաստան, Մաքսազերծված"
$ 17 000,2023  Hyundai Elantra,"56749 մղոն , SE, Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","30.11.2025 ԱՄՆ, Աճուրդում"
$ 6 500,2018  Toyota Camry,"81156 մղոն , SE, Սեդան, Բենզին, Ավտոմատ, Ձախ, Շագանակագույն","10.01.2025 ԱՄՆ, Աճուրդում"
$ 6 600,2018  Nissan Leaf,"52474 մղոն , S, Հետչբեք, Էլեկտրական, Ավտոմատ, 99.8, 1","30.11.2025 ԱՄՆ, Աճուրդում"
$ 3 200,2015  Chevrolet Volt,"63432 մղոն , Սեդան, Էլեկտրական, Ավտոմատ, 77, 4, Ձախ","30.11.2025 ԱՄՆ, Աճուրդում"
$ 2 600,2019  Nissan Sentra,"59377 մղոն , Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 2 000,2024  Hyundai Elantra,"47059 մղոն , limited, Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","30.11.2025 ԱՄՆ, Աճուրդում"
$ 10 000,2018  Nissan Leaf,"67124 մղոն , S, Հետչբեք, Էլեկտրական, Ավտոմատ, 99.8, 1","30.11.2025 ԱՄՆ, Աճուրդում"
$ 2 700,2019  Toyota Camry,"44228 մղոն , LE, Սեդան, Բենզին, Ավտոմատ, Ձախ, Սպիտակ","30.11.2025 ԱՄՆ, Աճուրդում"
$ 6 500,2020  Kia Sportage,"57696 մղոն , LX, Ամենագնաց, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","30.11.2025 ԱՄՆ, Աճուրդում"
$ 5 500,2021  Tesla Model Y,"81827 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, 99.8, 2, Ձախ","30.11.2025 ԱՄՆ, Աճուրդում"
$ 10 500,2023  Fisker Ocean One,"27094 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, 99.8, 1, Ձախ","30.11.2025 ԱՄՆ, Աճուրդում"
$ 9 000,2024  Cadillac Lyriq,"10300 մղոն , LUXURY, Սեդան, Էլեկտրական, Ավտոմատ, 99.8, 1","30.11.2025 ԱՄՆ, Աճուրդում"
$ 13 500,2020  Toyota Corolla,"47094 մղոն , SE, Սեդան, Բենզին, Ավտոմատ, Ձախ, Արծաթագույն","30.11.2025 ԱՄՆ, Աճուրդում"
$ 5 000,2023  Fisker Ocean One,"16061 մղոն , Ամենագնաց, Էլեկտրական, Ավտոմատ, 99.8, 1, Ձախ","30.11.2025 ԱՄՆ, Աճուրդում"
$ 9 400,2026  Cadillac Escalade,"403 մղոն , IQ SPORT-2, Ամենագնաց, Էլեկտրական, Ավտոմատ, 99.8, 1","30.11.2025 ԱՄՆ, Աճուրդում"
$ 65 000,2020  Toyota Camry,"50745 մղոն , SE, Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև","30.11.2025 ԱՄՆ, Աճուրդում"
$ 8 000,2019  Hyundai Sonata,"93323 մղոն , LIMITED, Սեդան, Բենզին, Ավտոմատ, Ձախ, Սև"
$ 3 500,2020  Kia Rio,"29000 մղոն , Հետչբեք, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն","22.10.2023 Հայաստան, Մաքսազերծված"
$ 13 800,2016  Mazda 3,"96000 կմ , Sport, Սեդան, Բենզին, Ավտոմատ, Ձախ, Մոխրագույն, Մոխրագույն"
