Price,Year,Make,Model,Mileage,Body style,Engine,Gearbox,Hand drive,Color,Custom cleared
9500,2012.0,Mercedes-Benz,Sprinter,170000.0,Մինիվեն / Միկրոավտոբուս,Դիզել,1,1,Սպիտակ,1
5400,2011.0,Ford,Transit,175000.0,Ֆուրգոն,Դիզել,1,1,Դեղին,1
5500,2020.0,Toyota,Corolla,138297.02356,Սեդան,Բենզին,0,1,Սպիտակ,2
5100,2020.0,Lexus,RX 350,75544.02894,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
8000,2019.0,Lexus,RX 350,128076.10522,Ամենագնաց,Բենզին,0,1,Սև,2
13000,2020.0,Hyundai,Tucson,52831.41352,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
8500,2018.0,Nissan,Murano,13367.17804,Ամենագնաց,Բենզին,0,1,Կապույտ,2
4000,2018.0,Subaru,Impreza,108673.90218,Սեդան,Բենզին,0,1,Մոխրագույն,2
2000,2018.0,Hyundai,Tucson,63688.0,Ամենագնաց,Բենզին,0,1,Երկնագույն,2
13000,2005.0,Ford,Transit,230000.0,Ֆուրգոն,Դիզել,1,1,Կարմիր,1
113500,2020.0,Nissan,Rogue,139233.65944,Ամենագնաց,Բենզին,0,1,Կապույտ,2
4100,2020.0,Nissan,Rogue,97056.07672,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
4500,2019.0,Subaru,Legacy,63697.6772,Սեդան,Բենզին,0,1,Սպիտակ,2
40000,2021.0,Hyundai,Sonata,121841.52206,Սեդան,Բենզին,0,1,Սև,2
6900,2024.0,BMW,X5,17000.0,Ամենագնաց,Բենզին,0,1,Սև,1
110000,2020.0,Porsche,Cayenne,58071.42456,Ամենագնաց,Բենզին,0,1,Մոխրագույն,2
2200,2021.0,Toyota,Rav 4,48108.00062,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
11300,2021.0,BMW,X3,17702.74,Ամենագնաց,Բենզին,0,1,Սպիտակ,2
